TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ Repository Identity & Discoverability,,,,,,
task,Verify owner avatar is correct and up to date,2,1,,,,,
task,Confirm repository is named correctly for discoverability,1,1,,,,,
task,Write a strong repository description (improves searchability and first impressions),1,1,,,,,
task,Add appropriate topics to improve discoverability,2,1,,,,,
task,Set repository scope correctly (public or private),1,1,,,,,
task,Pin repository on your profile (if required),3,1,,,,,
task,Set 'Watch' repository activity to the desired level,4,1,,,,,
task,Run the Repo Ecosystem Watch exercise and decide which related repos to Watch or Star,3,1,,,,,
task,Star the repository and assign to the appropriate organisational list,4,1,,,,,
task,Identify automation opportunities using GitHub Script and/or GitHub Actions,2,1,,,,,

section,2️⃣ Documentation,,,,,,
task,Write a clear README covering problem statement,1,1,,,,,
task,Add architecture overview to README,2,1,,,,,
task,Add screenshots to README,3,1,,,,,
task,Add setup instructions to README,1,1,,,,,
task,Add roadmap to README,2,1,,,,,
task,Create project wiki with problem statement,1,1,,,,,
task,Add technical architecture to wiki,2,1,,,,,
task,Add screenshots to wiki,3,1,,,,,
task,Add setup guide to wiki,1,1,,,,,
task,Add roadmap to wiki,2,1,,,,,
task,Configure GitHub Pages for documentation or a personal site (if applicable),3,1,,,,,

section,3️⃣ Visual Identity,,,,,,
task,Create and add GitHub Social Preview image,2,1,,,,,
task,Add dynamic contributor list to README,3,1,,,,,
task,Add profile badges to README,3,1,,,,,
task,Add team section to README (if applicable),4,1,,,,,

section,4️⃣ GitHub Features & Ecosystem,,,,,,
task,Configure Issues,2,1,,,,,
task,Configure Discussions (to show communication and design thinking),3,1,,,,,
task,Set up Projects for planning and public visibility,2,1,,,,,
task,Configure Releases and Tags strategy,2,1,,,,,
task,Evaluate GitHub Spark for lightweight app prototyping (Copilot Pro+ subscribers),4,1,,,,,

section,5️⃣ CI/CD & Automation,,,,,,
task,Set up CI via GitHub Actions,1,1,,,,,
task,Add linting workflow,2,1,,,,,
task,Add release notes automation,2,1,,,,,
task,Add scheduled job workflows (as applicable),3,1,,,,,
task,Add agentic doc-sync workflow (daily: identify doc files out of sync with recent code changes and open a PR with updates),2,1,,,,,
task,Review awesome-copilot workflows for reusable automation,3,1,,,,,
task,Plan GitHub Packages publishing strategy: decide tagging mechanism and target(s) — Docker container / npm package / GitHub Container Registry,4,1,,,,,
task,Add release publishing to GitHub Packages workflow (when repo/templates become stable),4,1,,,,,

section,6️⃣ Security & Maintenance,,,,,,,
section,6️⃣ Security & Maintenance,,,,,,
task,Introduce Dependabot in active repositories where missing,1,1,,,,,
task,Enable Dependabot version updates,1,1,,,,,
task,Enable Dependabot security alerts,1,1,,,,,
task,Add security templates (SECURITY.md),2,1,,,,,
task,Add branch ruleset to prevent merge when an action fails (gated check-ins),1,1,,,,,
task,Review and configure additional branch protection rules as required,2,1,,,,,

section,7️⃣ .github/ Community Files,,,,,,
task,Add issue templates,2,1,,,,,
task,Add pull request template,2,1,,,,,
task,Add community health files (CODE_OF_CONDUCT.md, CONTRIBUTING.md),3,1,,,,,

section,8️⃣ Copilot & AI Integration,,,,,,
task,"Create .github/copilot-instructions.md and specify that all documentation must be written in British English",1,1,,,,,
task,Add appropriate Copilot prompt.md files for the project,2,1,,,,,
task,Add relevant agent skills and custom agent personas,2,1,,,,,
task,Review community-curated agents at awesome-copilot (github.com) for applicable agents,3,1,,,,,
task,Identify any MCP servers that can be leveraged for the project,2,1,,,,,

section,9️⃣ Developer Workflow & Hygiene,,,,,,
task,Define and document branching convention,1,1,,,,,
task,Define and document commit message guidelines,2,1,,,,,
task,Add pull request template aligned to commit and review guidelines,2,1,,,,,
task,Enable sensible repository settings (default branch, merge strategies),2,1,,,,,

section,🔟 Centralised Workflows,,,,,,
task,Identify any workflows that could or should be shared and move to the central actions repo,2,1,,,,,
task,Review the central github-actions repo for any existing shared workflows to leverage,2,1,,,,,
