TYPE,CONTENT,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DUE_DATE,DUE_DATE_LANG
section,1️⃣ Repository Setup & Version Control,,,,,,
task,Create Git repository in Azure DevOps,1,1,,,,,
task,Create and add .gitignore,2,1,,,,,
task,Create and add .gitmessage.txt,2,1,,,,,
task,Create and add ./README.md,2,1,,,,,
task,Create and add ./CHANGELOG.md,2,1,,,,,
task,Create and add ./CONTRIBUTING.md,2,1,,,,,
task,Define and create repo structure,2,1,,,,,
task,Choose appropriate branching strategy to adopt,1,1,,,,,
task,Create and add ./docs/[branching-strategy-name]-guidelines.md,2,1,,,,,
task,"Configure branch policies in Azure DevOps (e.g. minimum reviewers, build validation)",1,1,,,,,
task,"Configure repository settings (default branch, policies, PR requirements)",1,1,,,,,
task,Configure permissions & access controls in Azure DevOps,1,1,,,,,
